created_date,datasets_created,Agency
2022-10-31,1,CDC
2022-11-18,1,CDC
2022-11-23,2,CDC
2022-11-25,2,CDC
2022-12-01,2,CDC
2022-12-07,1,CDC
2022-12-09,1,CDC
2022-12-19,1,CDC
2022-12-20,4,CDC
2022-12-21,1,CDC
2022-12-22,1,CDC
2022-12-31,4,CDC
2023-01-19,1,CDC
2023-01-24,1,CDC
2023-01-25,1,CDC
2023-01-26,1,CDC
2023-02-17,4,CDC
2023-02-22,2,CDC
2023-03-10,1,CDC
2023-03-24,1,CDC
2023-03-31,1,CDC
2023-04-04,1,CDC
2023-04-10,2,CDC
2023-04-13,1,CDC
2023-04-18,1,CDC
2023-04-25,1,CDC
2023-04-30,2,CDC
2023-05-04,2,CDC
2023-05-09,10,CDC
2023-05-10,1,CDC
2023-05-11,8,CDC
2023-05-15,2,CDC
2023-05-16,1,CDC
2023-05-23,1,CDC
2023-05-24,1,CDC
2023-05-30,1,CDC
2023-06-05,1,CDC
2023-06-06,3,CDC
2023-06-08,1,CDC
2023-06-15,9,CDC
2023-06-20,2,CDC
2023-06-22,2,CDC
2023-06-23,4,CDC
2023-06-27,2,CDC
2023-06-28,1,CDC
2023-06-30,2,CDC
2023-07-03,1,CDC
2023-07-05,1,CDC
2023-07-06,2,CDC
2023-07-13,1,CDC
2023-07-24,1,CDC
2023-08-02,1,CDC
2023-08-09,1,CDC
2023-08-15,2,CDC
2023-08-29,1,CDC
2023-09-01,2,CDC
2023-09-06,1,CDC
2023-09-21,3,CDC
2023-09-26,1,CDC
2023-09-27,5,CDC
2023-10-06,1,CDC
2023-10-18,1,CDC
2023-10-19,1,CDC
2023-10-20,3,CDC
2023-10-26,1,CDC
2023-10-31,1,CDC
2023-11-01,1,CDC
2023-11-03,2,CDC
2023-11-06,1,CDC
2023-11-08,1,CDC
2023-11-13,1,CDC
2023-11-16,1,CDC
2023-11-20,2,CDC
2023-11-21,2,CDC
2023-11-30,1,CDC
2023-12-04,1,CDC
2023-12-05,1,CDC
2023-12-08,3,CDC
2023-12-09,4,CDC
2023-12-12,1,CDC
2023-12-13,2,CDC
2023-12-15,1,CDC
2023-12-18,1,CDC
2023-12-19,1,CDC
2023-12-20,1,CDC
2024-01-09,1,CDC
2024-01-13,1,CDC
2024-01-15,1,CDC
2024-01-16,2,CDC
2024-01-23,2,CDC
2024-01-24,6,CDC
2024-02-02,2,CDC
2024-02-05,2,CDC
2024-02-06,1,CDC
2024-02-15,1,CDC
2024-02-16,2,CDC
2024-02-20,2,CDC
2024-02-21,3,CDC
2024-02-23,6,CDC
2024-02-26,3,CDC
2024-02-27,7,CDC
2024-02-28,1,CDC
2024-02-29,2,CDC
2024-03-01,2,CDC
2024-03-04,2,CDC
2024-03-11,1,CDC
2024-03-19,1,CDC
2024-03-20,2,CDC
2024-04-01,1,CDC
2024-04-02,1,CDC
2024-04-17,1,CDC
2024-04-24,10,CDC
2024-04-30,1,CDC
2024-05-02,1,CDC
2024-05-07,2,CDC
2024-05-23,1,CDC
2024-06-14,1,CDC
2024-06-26,1,CDC
2024-07-08,1,CDC
2024-07-09,2,CDC
2024-07-10,8,CDC
2024-07-11,1,CDC
2024-07-17,1,CDC
2024-07-22,1,CDC
2024-07-23,15,CDC
2024-07-24,13,CDC
2024-07-26,1,CDC
2024-08-05,2,CDC
2024-08-22,1,CDC
2024-08-29,1,CDC
2024-09-04,2,CDC
2024-09-17,1,CDC
2024-09-18,3,CDC
2024-09-19,1,CDC
2024-09-20,2,CDC
2024-09-21,1,CDC
2024-09-23,7,CDC
2024-09-26,3,CDC
2024-09-27,1,CDC
2024-09-30,1,CDC
2024-10-01,3,CDC
2024-10-04,4,CDC
2024-10-08,1,CDC
2024-10-09,1,CDC
2024-10-10,1,CDC
2024-10-14,3,CDC
2024-10-15,2,CDC
2024-10-17,1,CDC
2024-10-21,1,CDC
2024-10-22,6,CDC
2024-10-28,2,CDC
2024-10-31,1,CDC
2024-11-01,1,CDC
2024-11-12,1,CDC
2024-11-13,7,CDC
2024-11-14,17,CDC
2024-11-15,75,CDC
2024-11-18,1,CDC
2024-11-22,1,CDC
2024-11-29,3,CDC
2024-12-02,2,CDC
2024-12-03,1,CDC
2024-12-05,1,CDC
2024-12-06,4,CDC
2024-12-09,8,CDC
2024-12-10,1,CDC
2024-12-12,1,CDC
2024-12-18,1,CDC
2024-12-27,2,CDC
2024-12-30,1,CDC
2025-01-10,1,CDC
2025-01-31,1,CDC
2025-02-18,4,CDC
2025-02-20,3,CDC
2025-03-14,1,CDC
2025-03-21,1,CDC
2025-04-02,3,CDC
2025-04-03,1,CDC
